Date.Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-02-01T00:00:00Z,0.326,0.128,243.15,1.4,0,0,0
2007-02-01T00:01:00Z,0.326,0.13,243.32,1.4,0,0,0
2007-02-01T00:02:00Z,0.324,0.132,243.51,1.4,0,0,0
2007-02-01T00:03:00Z,0.324,0.134,243.9,1.4,0,0,0
2007-02-01T00:04:00Z,0.322,0.13,243.16,1.4,0,0,0
2007-02-01T00:05:00Z,0.32,0.126,242.29,1.4,0,0,0
2007-02-01T00:06:00Z,0.32,0.126,242.46,1.4,0,0,0
2007-02-01T00:07:00Z,0.32,0.126,242.63,1.4,0,0,0
2007-02-01T00:08:00Z,0.32,0.128,242.7,1.4,0,0,0
2007-02-01T00:09:00Z,0.236,0,242.89,1,0,0,0
2007-02-01T00:10:00Z,0.226,0,243,1,0,0,0
2007-02-01T00:11:00Z,0.224,0,242.5,1,0,0,0
2007-02-01T00:12:00Z,0.224,0,242.18,1,0,0,0
2007-02-01T00:13:00Z,0.224,0,242.15,1,0,0,0
2007-02-01T00:14:00Z,0.224,0,242.73,1,0,0,0
2007-02-01T00:15:00Z,0.26,0,242.85,1.2,0,0,0
2007-02-01T00:16:00Z,0.304,0.096,242.89,1.2,0,0,0
2007-02-01T00:17:00Z,0.302,0.096,242.87,1.2,0,0,0
2007-02-01T00:18:00Z,0.302,0.094,242.19,1.2,0,0,0
2007-02-01T00:19:00Z,0.3,0.094,242.23,1.2,0,0,0
2007-02-01T00:20:00Z,0.3,0.094,242.16,1.2,0,0,0
2007-02-01T00:21:00Z,0.298,0.094,242.29,1.2,0,0,0
2007-02-01T00:22:00Z,0.298,0.094,242.47,1.2,0,0,0
2007-02-01T00:23:00Z,0.296,0.094,242.32,1.2,0,0,0
2007-02-01T00:24:00Z,0.296,0.096,242.98,1.2,0,0,0
2007-02-01T00:25:00Z,0.298,0.1,243.65,1.2,0,0,0
2007-02-01T00:26:00Z,0.228,0,243.55,1,0,0,0
2007-02-01T00:27:00Z,0.226,0,243.11,1,0,0,0
2007-02-01T00:28:00Z,0.226,0,243.09,1,0,0,0
2007-02-01T00:29:00Z,0.226,0,243.05,1,0,0,0
2007-02-01T00:30:00Z,0.226,0,243.22,1,0,0,0
2007-02-01T00:31:00Z,0.226,0,243.37,1,0,0,0
2007-02-01T00:32:00Z,0.226,0,243.14,1,0,0,0
2007-02-01T00:33:00Z,0.226,0,243.12,1,0,0,0
2007-02-01T00:34:00Z,0.322,0.094,242.74,1.4,0,0,0
2007-02-01T00:35:00Z,0.336,0.126,242.59,1.4,0,0,0
2007-02-01T00:36:00Z,0.332,0.126,242.91,1.4,0,0,0
2007-02-01T00:37:00Z,0.332,0.13,243.51,1.4,0,0,0
2007-02-01T00:38:00Z,0.33,0.13,243.65,1.4,0,0,0
2007-02-01T00:39:00Z,0.328,0.128,243.37,1.4,0,0,0
2007-02-01T00:40:00Z,0.328,0.13,243.79,1.4,0,0,0
2007-02-01T00:41:00Z,0.326,0.128,243.23,1.4,0,0,0
2007-02-01T00:42:00Z,0.324,0.126,242.98,1.4,0,0,0
2007-02-01T00:43:00Z,0.322,0.126,242.95,1.4,0,0,0
2007-02-01T00:44:00Z,0.322,0.124,242.6,1.4,0,0,0
2007-02-01T00:45:00Z,0.322,0.128,243.33,1.4,0,0,0
2007-02-01T00:46:00Z,0.318,0.118,241.32,1.4,0,0,0
2007-02-01T00:47:00Z,0.316,0.116,240.93,1.4,0,0,0
2007-02-01T00:48:00Z,0.316,0.116,240.93,1.4,0,0,0
2007-02-01T00:49:00Z,0.274,0.058,240.36,1.2,0,0,0
2007-02-01T00:50:00Z,0.222,0,240.93,1,0,0,0
2007-02-01T00:51:00Z,0.222,0,240.83,1,0,0,0
2007-02-01T00:52:00Z,0.222,0,240.52,1,0,0,0
2007-02-01T00:53:00Z,0.224,0,241.45,1,0,0,0
2007-02-01T00:54:00Z,0.224,0,241.59,1,0,0,0
2007-02-01T00:55:00Z,0.226,0,242.55,1,0,0,0
2007-02-01T00:56:00Z,0.226,0,242.88,1,0,0,0
2007-02-01T00:57:00Z,0.226,0,242.63,1,0,0,0
2007-02-01T00:58:00Z,0.224,0,242.2,1,0,0,0
2007-02-01T00:59:00Z,0.224,0,241.84,1,0,0,0
2007-02-01T01:00:00Z,0.222,0,240.89,1,0,0,0
2007-02-01T01:01:00Z,0.222,0,240.86,1,0,0,0
2007-02-01T01:02:00Z,0.26,0,240.64,1.2,0,0,0
2007-02-01T01:03:00Z,0.298,0.088,240.72,1.2,0,0,0
2007-02-01T01:04:00Z,0.302,0.094,242.18,1.2,0,0,0
2007-02-01T01:05:00Z,0.302,0.096,242.66,1.2,0,0,0
2007-02-01T01:06:00Z,0.302,0.096,242.77,1.2,0,0,0
2007-02-01T01:07:00Z,0.3,0.096,242.6,1.2,0,0,0
2007-02-01T01:08:00Z,0.298,0.094,242.38,1.2,0,0,0
2007-02-01T01:09:00Z,0.298,0.094,242.21,1.2,0,0,0
2007-02-01T01:10:00Z,0.296,0.096,242.61,1.2,0,0,0
2007-02-01T01:11:00Z,0.296,0.094,242.24,1.2,0,0,0
2007-02-01T01:12:00Z,0.258,0,242.66,1,0,0,0
2007-02-01T01:13:00Z,0.226,0,242.99,1,0,0,0
2007-02-01T01:14:00Z,0.228,0,243.53,1,0,0,0
2007-02-01T01:15:00Z,0.316,0.088,243.12,1.4,0,0,0
2007-02-01T01:16:00Z,0.434,0.252,242.83,2.2,0,0,0
2007-02-01T01:17:00Z,0.418,0.254,243.08,2,0,2,0
2007-02-01T01:18:00Z,0.414,0.254,243.35,2,0,1,0
2007-02-01T01:19:00Z,0.412,0.252,242.71,2,0,1,0
2007-02-01T01:20:00Z,0.41,0.246,241.63,2,0,2,0
2007-02-01T01:21:00Z,0.408,0.246,241.86,2,0,1,0
2007-02-01T01:22:00Z,0.408,0.248,242.17,2,0,2,0
2007-02-01T01:23:00Z,0.404,0.244,241.7,2,0,1,0
2007-02-01T01:24:00Z,0.402,0.242,241.14,1.8,0,1,0
2007-02-01T01:25:00Z,0.402,0.244,241.41,1.8,0,2,0
2007-02-01T01:26:00Z,0.402,0.246,241.95,1.8,0,1,0
2007-02-01T01:27:00Z,0.402,0.248,242.36,1.8,0,2,0
2007-02-01T01:28:00Z,0.402,0.25,242.6,1.8,0,1,0
2007-02-01T01:29:00Z,0.398,0.246,242.11,1.8,0,1,0
2007-02-01T01:30:00Z,0.336,0.156,241.88,1.6,0,2,0
2007-02-01T01:31:00Z,0.3,0.104,240.78,1.2,0,1,0
2007-02-01T01:32:00Z,0.3,0.104,240.68,1.2,0,1,0
2007-02-01T01:33:00Z,0.3,0.106,240.87,1.2,0,2,0
2007-02-01T01:34:00Z,0.298,0.106,241,1.2,0,1,0
2007-02-01T01:35:00Z,0.298,0.106,240.97,1.2,0,1,0
2007-02-01T01:36:00Z,0.298,0.106,241.09,1.2,0,1,0
2007-02-01T01:37:00Z,0.298,0.106,241.1,1.2,0,2,0
2007-02-01T01:38:00Z,0.298,0.106,241.21,1.2,0,1,0
2007-02-01T01:39:00Z,0.296,0.106,241.27,1.2,0,1,0
2007-02-01T01:40:00Z,0.296,0.108,241.4,1.2,0,1,0
2007-02-01T01:41:00Z,0.296,0.108,241.61,1.2,0,1,0
2007-02-01T01:42:00Z,0.296,0.106,241.37,1.2,0,2,0
2007-02-01T01:43:00Z,0.294,0.106,240.99,1.2,0,1,0
2007-02-01T01:44:00Z,0.294,0.106,241.27,1.2,0,1,0
2007-02-01T01:45:00Z,0.242,0,241.26,1,0,0,0
2007-02-01T01:46:00Z,0.224,0,241.76,1,0,0,0
2007-02-01T01:47:00Z,0.224,0,242.38,1,0,0,0
2007-02-01T01:48:00Z,0.224,0,242.15,1,0,0,0
2007-02-01T01:49:00Z,0.288,0.05,241.69,1.4,0,0,0
2007-02-01T01:50:00Z,0.298,0.088,241.02,1.2,0,0,0
2007-02-01T01:51:00Z,0.298,0.088,240.75,1.2,0,0,0
2007-02-01T01:52:00Z,0.298,0.088,241.06,1.2,0,0,0
2007-02-01T01:53:00Z,0.3,0.09,241.57,1.2,0,0,0
2007-02-01T01:54:00Z,0.3,0.094,242.29,1.2,0,0,0
2007-02-01T01:55:00Z,0.3,0.096,242.77,1.2,0,0,0
2007-02-01T01:56:00Z,0.386,0.19,242.48,1.8,0,0,0
2007-02-01T01:57:00Z,0.406,0.228,242.24,1.8,0,0,0
2007-02-01T01:58:00Z,0.398,0.222,242.11,1.8,0,0,0
2007-02-01T01:59:00Z,0.326,0.116,240.55,1.4,0,0,0
2007-02-01T02:00:00Z,0.324,0.116,240.33,1.4,0,0,0
2007-02-01T02:01:00Z,0.328,0.126,242.57,1.4,0,0,0
2007-02-01T02:02:00Z,0.328,0.13,243.12,1.4,0,0,0
2007-02-01T02:03:00Z,0.326,0.128,243.05,1.4,0,0,0
2007-02-01T02:04:00Z,0.324,0.128,243.09,1.4,0,0,0
2007-02-01T02:05:00Z,0.322,0.124,242.07,1.4,0,0,0
2007-02-01T02:06:00Z,0.322,0.124,242.21,1.4,0,0,0
2007-02-01T02:07:00Z,0.322,0.126,242.47,1.4,0,0,0
2007-02-01T02:08:00Z,0.322,0.126,242.57,1.4,0,0,0
2007-02-01T02:09:00Z,0.322,0.128,243.08,1.4,0,0,0
2007-02-01T02:10:00Z,0.322,0.13,243.28,1.4,0,0,0
2007-02-01T02:11:00Z,0.242,0,243.52,1,0,0,0
2007-02-01T02:12:00Z,0.228,0,244.09,1,0,0,0
2007-02-01T02:13:00Z,0.228,0,244.02,1,0,0,0
2007-02-01T02:14:00Z,0.228,0,244.02,1,0,0,0
2007-02-01T02:15:00Z,0.226,0,243.25,1,0,0,0
2007-02-01T02:16:00Z,0.226,0,243.06,1,0,0,0
2007-02-01T02:17:00Z,0.228,0,243.38,1,0,0,0
2007-02-01T02:18:00Z,0.228,0,243.91,1,0,0,0
2007-02-01T02:19:00Z,0.228,0,243.93,1,0,0,0
2007-02-01T02:20:00Z,0.228,0,243.55,1,0,0,0
2007-02-01T02:21:00Z,0.228,0,243.45,1,0,0,0
2007-02-01T02:22:00Z,0.226,0,242.42,1,0,0,0
2007-02-01T02:23:00Z,0.226,0,243.14,1,0,0,0
2007-02-01T02:24:00Z,0.228,0,243.37,1,0,0,0
2007-02-01T02:25:00Z,0.228,0,243.53,1,0,0,0
2007-02-01T02:26:00Z,0.226,0,243.22,1,0,0,0
2007-02-01T02:27:00Z,0.228,0,243.57,1,0,0,0
2007-02-01T02:28:00Z,0.228,0,243.76,1,0,0,0
2007-02-01T02:29:00Z,0.226,0,243.36,1,0,0,0
2007-02-01T02:30:00Z,0.226,0,243.17,1,0,0,0
2007-02-01T02:31:00Z,0.228,0,243.58,1,0,0,0
2007-02-01T02:32:00Z,0.228,0,244.1,1,0,0,0
2007-02-01T02:33:00Z,0.23,0,244.55,1,0,0,0
2007-02-01T02:34:00Z,0.23,0,244.98,1,0,0,0
2007-02-01T02:35:00Z,0.228,0,244.36,1,0,0,0
2007-02-01T02:36:00Z,0.292,0.06,244.42,1.4,0,0,0
2007-02-01T02:37:00Z,0.388,0.19,243.85,1.8,0,0,0
2007-02-01T02:38:00Z,0.416,0.238,243.83,2,0,0,0
2007-02-01T02:39:00Z,0.416,0.244,243.73,2,0,0,0
2007-02-01T02:40:00Z,0.436,0.276,244.66,2,0,0,0
2007-02-01T02:41:00Z,0.436,0.28,245.02,2,0,0,0
2007-02-01T02:42:00Z,0.432,0.28,245.06,2,0,0,0
2007-02-01T02:43:00Z,0.426,0.272,244.04,2,0,0,0
2007-02-01T02:44:00Z,0.424,0.27,243.58,2,0,0,0
2007-02-01T02:45:00Z,0.42,0.268,243.42,2,0,0,0
2007-02-01T02:46:00Z,0.35,0.16,243.19,1.6,0,0,0
2007-02-01T02:47:00Z,0.35,0.164,243.9,1.6,0,0,0
2007-02-01T02:48:00Z,0.348,0.162,243.6,1.6,0,0,0
2007-02-01T02:49:00Z,0.346,0.16,243.04,1.6,0,0,0
2007-02-01T02:50:00Z,0.346,0.162,243.44,1.6,0,0,0
2007-02-01T02:51:00Z,0.346,0.162,243.35,1.6,0,0,0
2007-02-01T02:52:00Z,0.256,0,243.34,1,0,0,0
2007-02-01T02:53:00Z,0.252,0,243.21,1,0,0,0
2007-02-01T02:54:00Z,0.252,0,242.96,1,0,0,0
2007-02-01T02:55:00Z,0.252,0,243.33,1,0,0,0
2007-02-01T02:56:00Z,0.252,0,243.16,1,0,0,0
2007-02-01T02:57:00Z,0.25,0,242.77,1,0,0,0
2007-02-01T02:58:00Z,0.252,0,243.36,1,0,0,0
2007-02-01T02:59:00Z,0.252,0,243.38,1,0,0,0
2007-02-01T03:00:00Z,0.252,0,243.5,1,0,0,0
2007-02-01T03:01:00Z,0.252,0,243.57,1,0,0,0
2007-02-01T03:02:00Z,0.254,0,244.24,1,0,0,0
2007-02-01T03:03:00Z,0.254,0,244.22,1,0,0,0
2007-02-01T03:04:00Z,0.254,0,243.99,1,0,0,0
2007-02-01T03:05:00Z,0.252,0,243.44,1,0,0,0
2007-02-01T03:06:00Z,0.252,0,243.4,1,0,0,0
2007-02-01T03:07:00Z,0.252,0,243.49,1,0,0,0
2007-02-01T03:08:00Z,0.252,0,243.55,1,0,0,0
2007-02-01T03:09:00Z,0.252,0,243.19,1,0,0,0
2007-02-01T03:10:00Z,0.254,0,243.74,1,0,0,0
2007-02-01T03:11:00Z,0.254,0,244.11,1,0,0,0
2007-02-01T03:12:00Z,0.25,0,242.84,1,0,0,0
2007-02-01T03:13:00Z,0.25,0,242.81,1,0,0,0
2007-02-01T03:14:00Z,0.25,0,242.48,1,0,0,0
2007-02-01T03:15:00Z,0.25,0,242.5,1,0,0,0
2007-02-01T03:16:00Z,0.25,0,242.76,1,0,0,0
2007-02-01T03:17:00Z,0.25,0,242.92,1,0,0,0
2007-02-01T03:18:00Z,0.368,0.15,242.49,1.6,0,0,0
2007-02-01T03:19:00Z,0.36,0.158,242.86,1.6,0,0,0
2007-02-01T03:20:00Z,0.358,0.162,243.33,1.6,0,0,0
2007-02-01T03:21:00Z,0.358,0.162,243.53,1.6,0,0,0
2007-02-01T03:22:00Z,0.356,0.162,243.44,1.6,0,0,0
2007-02-01T03:23:00Z,0.386,0.184,243.53,1.8,0,0,0
2007-02-01T03:24:00Z,0.406,0.234,243,1.8,0,0,0
2007-02-01T03:25:00Z,0.404,0.238,243.8,1.8,0,0,0
2007-02-01T03:26:00Z,0.402,0.236,243.5,1.8,0,0,0
2007-02-01T03:27:00Z,0.4,0.234,243.13,1.8,0,0,0
2007-02-01T03:28:00Z,0.4,0.234,243.34,1.8,0,0,0
2007-02-01T03:29:00Z,0.398,0.236,243.51,1.8,0,0,0
2007-02-01T03:30:00Z,0.396,0.238,243.86,1.8,0,0,0
2007-02-01T03:31:00Z,0.392,0.234,243.03,1.8,0,0,0
2007-02-01T03:32:00Z,0.346,0.166,242.99,1.6,0,0,0
2007-02-01T03:33:00Z,0.258,0,243.12,1,0,0,0
2007-02-01T03:34:00Z,0.224,0,242.06,1,0,0,0
2007-02-01T03:35:00Z,0.224,0,241.77,1,0,0,0
2007-02-01T03:36:00Z,0.226,0,242.34,1,0,0,0
2007-02-01T03:37:00Z,0.228,0,243.26,1,0,0,0
2007-02-01T03:38:00Z,0.228,0,243.71,1,0,0,0
2007-02-01T03:39:00Z,0.23,0,244.83,1,0,0,0
